Heuristic,Tree with gini and max_depth 4,Tree with gini max_depth 4 and impurity decrease,Tree with entropy and max_depth 4,Tree with entropy max_depth 4 and impurity decrease,Tree with gini and max_depth 3,Tree with gini max_depth 3 and impurity decrease,Tree with entropy and max_depth 3,Tree with entropy max_depth 3 and impurity decrease,Small NN with lbfgs,Medium NN with lbfgs,Mixed NN with lbfgs,Big NN with lbfgs,Small NN with adam,Medium NN with adam,Mixed NN with adam,Big NN with adam,K-Neighbors (2 groups),K-Neighbors (3 groups),K-Neighbors (5 groups),K-Neighbors (8 groups),Linear Division SVC,Polynomial  Division SVC,RBF Division SVC,Random Forest with gini (3 trees),Random Forest with gini (5 trees),Random Forest with gini (10 trees),Random Forest with entropy (3 trees),Random Forest with entropy (5 trees),Random Forest with entropy (10 trees),Average
Earliest Start,0.947935848,0.884296109,0.927695278,0.884296109,0.947935848,0.884296109,0.927695278,0.884296109,0.909381497,0.950839026,0.942144342,0.947950698,0.275794476,0.889103802,0.911282299,0.903601129,0.749279774,0.732900208,0.735773686,0.746387734,0.917088655,0.859225572,0.883341996,0.917107217,0.926715177,0.923823136,0.916134541,0.918057618,0.919004307,0.867702882
Shortest Activity,0.995271841,0.996456675,0.996456675,0.996456675,0.99055486,0.996456675,0.996456675,0.996456675,0.986994769,0.962236207,0.661942234,0.98583229,0.338057766,0.961034606,0.974000715,0.95393119,0.802607753,0.820296432,0.813237727,0.786070375,0.983451444,0.94444134,0.957457748,0.977577573,0.978723285,0.996456675,0.989370026,0.970423858,0.994087007,0.924234406
Longest Activity,0.980504587,0.94266055,0.957568807,0.94266055,0.982798165,0.94266055,0.957568807,0.94266055,0.930045872,0.939220183,0.927752294,0.941513761,0.327981651,0.933486239,0.943807339,0.928899083,0.803899083,0.803899083,0.791284404,0.776376147,0.938073394,0.925458716,0.943807339,0.964449541,0.930045872,0.966743119,0.967889908,0.946100917,0.970183486,0.905172414
Longest Job Remaining Time,0.987481437,0.972081972,0.990373478,0.972081972,0.990373478,0.972081972,0.990373478,0.972081972,0.843235818,0.93745545,0.952840065,0.953805316,0.275271013,0.92783264,0.938402138,0.872958123,0.755557618,0.742103505,0.755550193,0.758423671,0.917237155,0.882588358,0.904722305,0.988446688,0.958598159,0.978831304,0.95284749,0.941264479,0.963428126,0.898218254
Most Loaded Machine,0.875961538,0.838461538,0.838461538,0.838461538,0.880769231,0.838461538,0.838461538,0.838461538,0.760576923,0.830769231,0.832692308,0.839423077,0.275,0.835576923,0.843269231,0.835576923,0.790384615,0.803846154,0.814423077,0.808653846,0.842307692,0.875,0.860576923,0.860576923,0.861538462,0.866346154,0.864423077,0.858653846,0.861538462,0.820988064
Least Loaded Machine,0.871873776,0.753783303,0.821388925,0.753783303,0.847631252,0.753783303,0.821388925,0.753783303,0.826441491,0.835530397,0.829457523,0.83752612,0.288596219,0.824425362,0.818385138,0.816352684,0.73361385,0.710412041,0.729610161,0.733609769,0.830469668,0.829469766,0.835509991,0.83047375,0.837546526,0.849663706,0.83047375,0.839562655,0.846623188,0.789350684
Hyper-Heuristic,0.794516541,0.698626919,0.729182179,0.698626919,0.74077669,0.698626919,0.729182179,0.698626919,0.709157714,0.732346736,0.71124969,0.716546112,0.301373081,0.750257065,0.715495692,0.753434918,0.70177818,0.672282204,0.692337695,0.715500124,0.717587668,0.759755168,0.769222246,0.73233344,0.741831543,0.742886395,0.737607701,0.743936815,0.742886395,0.711999029
Simple Hyper-Heuristic 1,0.906680841,0.727607175,0.756233129,0.727607175,0.85906162,0.727607175,0.756233129,0.727607175,0.769555627,0.803837837,0.797201985,0.817142194,0.272392825,0.817153078,0.829532261,0.815284591,0.749510202,0.729555481,0.755249906,0.758108873,0.79428134,0.822867385,0.84953052,0.880928366,0.830475575,0.851428032,0.861895191,0.817163962,0.84384161,0.781226699
Simple Hyper-Heuristic 2,0.975843445,0.920575614,0.943606519,0.943606519,0.968946857,0.920575614,0.943606519,0.943606519,0.90447829,0.903320932,0.896434913,0.887218323,0.329123156,0.90447829,0.904446582,0.910238659,0.766403839,0.757187249,0.753752167,0.74569822,0.886060965,0.886082104,0.913689595,0.947052171,0.913652602,0.950503107,0.953954044,0.949366888,0.959719697,0.882180324
Simple Hyper-Heuristic 3,0.832352941,0.760784314,0.809803922,0.719607843,0.82745098,0.760784314,0.809803922,0.719607843,0.75,0.797058824,0.797058824,0.804901961,0.280392157,0.817647059,0.815686275,0.816666667,0.776470588,0.783333333,0.782352941,0.787254902,0.803921569,0.846078431,0.83627451,0.82745098,0.82745098,0.833333333,0.821568627,0.825490196,0.838235294,0.78306288
Average,0.91684228,0.849533417,0.877077045,0.84771886,0.903629898,0.849533417,0.877077045,0.84771886,0.8389868,0.869261482,0.834877418,0.873185985,0.296398234,0.866099506,0.869430767,0.860694397,0.76295055,0.755581569,0.762357196,0.761608366,0.863047955,0.863096684,0.875413317,0.892639665,0.880657818,0.896001496,0.889616436,0.881002123,0.893954757,0.836413564
