Heuristic,Tree with gini and max_depth 4,Tree with gini max_depth 4 and impurity decrease,Tree with entropy and max_depth 4,Tree with entropy max_depth 4 and impurity decrease,Tree with gini and max_depth 3,Tree with gini max_depth 3 and impurity decrease,Tree with entropy and max_depth 3,Tree with entropy max_depth 3 and impurity decrease,Small NN with lbfgs,Medium NN with lbfgs,Mixed NN with lbfgs,Big NN with lbfgs,Small NN with adam,Medium NN with adam,Mixed NN with adam,Big NN with adam,K-Neighbors (2 groups),K-Neighbors (3 groups),K-Neighbors (5 groups),K-Neighbors (8 groups),Linear Division SVC,Polynomial  Division SVC,RBF Division SVC,Random Forest with gini (3 trees),Random Forest with gini (5 trees),Random Forest with gini (10 trees),Random Forest with entropy (3 trees),Random Forest with entropy (5 trees),Random Forest with entropy (10 trees),Average
Earliest Start,0.957580933,0.884296109,0.930583606,0.884296109,0.956615682,0.884296109,0.930583606,0.884296109,0.893870656,0.955643006,0.926692902,0.946952034,0.275794476,0.891038016,0.918982031,0.899710425,0.735821948,0.721332046,0.741583754,0.728081378,0.920931096,0.861141224,0.886234036,0.937329225,0.936363974,0.931548857,0.931541432,0.938287051,0.936367686,0.869923983
Shortest Activity,0.997635921,0.996456675,0.996456675,0.996456675,0.997635921,0.996456675,0.996456675,0.996456675,0.887558124,0.983429089,0.661942234,0.984653045,0.338057766,0.959821828,0.970451802,0.966897299,0.813243316,0.836850577,0.836867343,0.809699991,0.983451444,0.947990253,0.956284092,0.977532862,0.979880175,0.996456675,0.983429089,0.983445855,0.996456675,0.925117635
Longest Activity,0.972477064,0.94266055,0.944954128,0.94266055,0.969036697,0.94266055,0.944954128,0.94266055,0.854357798,0.915137615,0.888761468,0.930045872,0.327981651,0.926605505,0.947247706,0.938073394,0.767201835,0.79587156,0.767201835,0.740825688,0.919724771,0.92087156,0.94266055,0.963302752,0.967889908,0.982798165,0.966743119,0.970183486,0.97706422,0.896986713
Longest Job Remaining Time,0.986527324,0.972081972,0.989411939,0.972081972,0.989411939,0.972081972,0.989411939,0.972081972,0.849892337,0.897029997,0.914359964,0.894137957,0.275271013,0.909555985,0.902810365,0.897980398,0.732425007,0.736308286,0.733405108,0.751704039,0.891227354,0.865265815,0.902814078,0.977840065,0.968191268,0.983627859,0.975935551,0.982673745,0.979792842,0.891908278
Most Loaded Machine,0.8625,0.838461538,0.838461538,0.838461538,0.870192308,0.838461538,0.838461538,0.838461538,0.836538462,0.826923077,0.8375,0.842307692,0.275,0.836538462,0.843269231,0.831730769,0.804807692,0.809615385,0.810576923,0.807692308,0.841346154,0.867307692,0.864423077,0.859615385,0.859615385,0.861538462,0.852884615,0.854807692,0.858653846,0.822281167
Least Loaded Machine,0.873889905,0.753783303,0.822409233,0.753783303,0.875901952,0.753783303,0.822409233,0.753783303,0.800227733,0.83954633,0.835509991,0.839562655,0.288596219,0.822421477,0.834522333,0.829457523,0.718447989,0.728557203,0.73156099,0.736613556,0.839562655,0.830477831,0.844602978,0.823421379,0.84159919,0.849659625,0.824429444,0.842607255,0.850671771,0.791786195
Hyper-Heuristic,0.837738893,0.698626919,0.731260859,0.698626919,0.773437223,0.698626919,0.731260859,0.698626919,0.734416551,0.766075418,0.693352658,0.719688508,0.301373081,0.756603907,0.701782612,0.742890827,0.726039783,0.676528206,0.683912172,0.707074602,0.714449704,0.775573521,0.790305996,0.743914654,0.743919087,0.746050952,0.752353473,0.754463178,0.750270361,0.718939475
Simple Hyper-Heuristic 1,0.922876818,0.727607175,0.756233129,0.727607175,0.874296143,0.727607175,0.756233129,0.727607175,0.789539372,0.797151191,0.776195106,0.817171219,0.272392825,0.827620236,0.8305046,0.853318289,0.727625316,0.716207587,0.741902011,0.740940557,0.797162076,0.815230169,0.853340057,0.886675326,0.859036223,0.870479349,0.900026848,0.879019969,0.867613125,0.787559289
Simple Hyper-Heuristic 2,0.985038896,0.902174143,0.943622373,0.943622373,0.976979664,0.902174143,0.943622373,0.943622373,0.812349385,0.895240561,0.879148522,0.879132668,0.329123156,0.890648121,0.900995645,0.882594174,0.749128018,0.759464973,0.74221029,0.727270325,0.873414577,0.878022872,0.907923942,0.978158162,0.973555152,0.968931002,0.979310235,0.970114785,0.972381939,0.87896465
Simple Hyper-Heuristic 3,0.816666667,0.760784314,0.807843137,0.719607843,0.826470588,0.760784314,0.807843137,0.719607843,0.779411765,0.795098039,0.805882353,0.800980392,0.280392157,0.805882353,0.812745098,0.816666667,0.790196078,0.787254902,0.793137255,0.790196078,0.810784314,0.852941176,0.834313725,0.82745098,0.82745098,0.821568627,0.835294118,0.835294118,0.833333333,0.784685598
Average,0.921293242,0.84769327,0.876123662,0.847720446,0.910997812,0.84769327,0.876123662,0.847720446,0.823816218,0.867127432,0.82193452,0.865463204,0.296398234,0.862673589,0.866331142,0.865931977,0.756493698,0.756799072,0.758235768,0.754009852,0.859205414,0.861482211,0.878290253,0.897524079,0.895750134,0.901265957,0.900194792,0.901089713,0.90226058,0.836815298
