Heuristic,Tree with gini and max_depth 4,Tree with gini max_depth 4 and impurity decrease,Tree with entropy and max_depth 4,Tree with entropy max_depth 4 and impurity decrease,Tree with gini and max_depth 3,Tree with gini max_depth 3 and impurity decrease,Tree with entropy and max_depth 3,Tree with entropy max_depth 3 and impurity decrease,Small NN with lbfgs,Medium NN with lbfgs,Mixed NN with lbfgs,Big NN with lbfgs,Small NN with adam,Medium NN with adam,Mixed NN with adam,Big NN with adam,K-Neighbors (2 groups),K-Neighbors (3 groups),K-Neighbors (5 groups),K-Neighbors (8 groups),Linear Division SVC,Polynomial  Division SVC,RBF Division SVC,Random Forest with gini (3 trees),Random Forest with gini (5 trees),Random Forest with gini (10 trees),Random Forest with entropy (3 trees),Random Forest with entropy (5 trees),Random Forest with entropy (10 trees),Average
Earliest Start,0.856643357,1,0.832167832,1,0.863636364,1,0.832167832,1,0.933566434,0.940559441,0.916083916,0.888111888,0.363636364,0.695804196,0.905594406,0.797202797,0.573426573,0.657342657,0.590909091,0.426573427,0.825174825,0.685314685,0.818181818,0.93006993,0.947552448,0.954545455,0.895104895,0.947552448,0.951048951,0.82855076
Shortest Activity,1,1,1,1,1,1,1,1,0.440559441,0.923076923,0.440559441,0.993006993,0.440559441,0.91958042,0.968531469,0.933566434,0.758741259,0.811188811,0.783216783,0.734265734,0.982517483,0.951048951,0.968531469,0.91958042,0.916083916,1,0.909090909,0.968531469,1,0.888353026
Longest Activity,0.98951049,1,0.954545455,1,1,1,0.954545455,1,0.870629371,0.867132867,0.881118881,0.874125874,0.48951049,0.891608392,0.958041958,0.895104895,0.758741259,0.832167832,0.769230769,0.653846154,0.870629371,0.870629371,0.926573427,0.986013986,0.98951049,0.98951049,0.996503497,1,0.986013986,0.905353267
Longest Job Remaining Time,1,1,1,1,1,1,1,1,0.755244755,0.863636364,0.891608392,0.804195804,0.335664336,0.867132867,0.758741259,0.84965035,0.552447552,0.653846154,0.506993007,0.426573427,0.818181818,0.783216783,0.909090909,0.93006993,0.853146853,0.975524476,0.958041958,0.965034965,0.979020979,0.842657343
Most Loaded Machine,0.699300699,0.70979021,0.70979021,0.70979021,0.671328671,0.70979021,0.70979021,0.70979021,0.660839161,0.629370629,0.674825175,0.63986014,0.332167832,0.706293706,0.699300699,0.702797203,0.681818182,0.744755245,0.695804196,0.622377622,0.653846154,0.772727273,0.769230769,0.744755245,0.737762238,0.734265734,0.713286713,0.734265734,0.727272727,0.689896311
Least Loaded Machine,0.772727273,0.744755245,0.730769231,0.744755245,0.772727273,0.744755245,0.730769231,0.744755245,0.702797203,0.702797203,0.734265734,0.716783217,0.412587413,0.702797203,0.751748252,0.744755245,0.618881119,0.692307692,0.622377622,0.587412587,0.706293706,0.664335664,0.734265734,0.751748252,0.769230769,0.748251748,0.751748252,0.769230769,0.77972028,0.712081022
Hyper-Heuristic,0.734265734,0.402097902,0.402097902,0.402097902,0.646853147,0.402097902,0.402097902,0.402097902,0.402097902,0.458041958,0.482517483,0.479020979,0.402097902,0.48951049,0.405594406,0.395104895,0.552447552,0.629370629,0.541958042,0.447552448,0.409090909,0.590909091,0.625874126,0.440559441,0.454545455,0.465034965,0.671328671,0.5,0.493006993,0.487219677
Simple Hyper-Heuristic 1,0.91958042,0.332167832,0.762237762,0.332167832,0.839160839,0.332167832,0.762237762,0.332167832,0.541958042,0.527972028,0.524475524,0.555944056,0.332167832,0.566433566,0.636363636,0.615384615,0.520979021,0.618881119,0.559440559,0.41958042,0.506993007,0.590909091,0.730769231,0.835664336,0.786713287,0.706293706,0.884615385,0.786713287,0.702797203,0.605618519
Simple Hyper-Heuristic 2,1,0.944055944,0.940559441,0.940559441,0.975524476,0.944055944,0.940559441,0.940559441,0.814685315,0.884615385,0.828671329,0.84965035,0.475524476,0.870629371,0.842657343,0.839160839,0.734265734,0.797202797,0.734265734,0.622377622,0.818181818,0.835664336,0.888111888,0.996503497,0.993006993,0.98951049,0.996503497,0.993006993,0.979020979,0.876175549
Simple Hyper-Heuristic 3,0.755244755,0.370629371,0.692307692,0.370629371,0.748251748,0.370629371,0.692307692,0.370629371,0.604895105,0.615384615,0.63986014,0.594405594,0.370629371,0.643356643,0.688811189,0.65034965,0.674825175,0.737762238,0.674825175,0.594405594,0.65034965,0.751748252,0.734265734,0.706293706,0.723776224,0.695804196,0.72027972,0.723776224,0.723776224,0.630696889
Average,0.872727273,0.75034965,0.802447552,0.75,0.851748252,0.75034965,0.802447552,0.75,0.672727273,0.741258741,0.701398601,0.73951049,0.395454545,0.735314685,0.761538462,0.742307692,0.642657343,0.717482517,0.647902098,0.553496503,0.724125874,0.74965035,0.81048951,0.824125874,0.817132867,0.825874126,0.84965035,0.838811189,0.832167832,0.746660236
