Heuristic,Tree with gini and max_depth 4,Tree with gini max_depth 4 and impurity decrease,Tree with entropy and max_depth 4,Tree with entropy max_depth 4 and impurity decrease,Tree with gini and max_depth 3,Tree with gini max_depth 3 and impurity decrease,Tree with entropy and max_depth 3,Tree with entropy max_depth 3 and impurity decrease,Small NN with lbfgs,Medium NN with lbfgs,Mixed NN with lbfgs,Big NN with lbfgs,Small NN with adam,Medium NN with adam,Mixed NN with adam,Big NN with adam,K-Neighbors (2 groups),K-Neighbors (3 groups),K-Neighbors (5 groups),K-Neighbors (8 groups),Linear Division SVC,Polynomial  Division SVC,RBF Division SVC,Random Forest with gini (3 trees),Random Forest with gini (5 trees),Random Forest with gini (10 trees),Random Forest with entropy (3 trees),Random Forest with entropy (5 trees),Random Forest with entropy (10 trees),Average
Earliest Start,0.007140012,0.011084288,0.010805371,0.011084288,0.006242427,0.011084288,0.010805371,0.011084288,0.099312117,0.003318804,0.03346739,0.011418398,0.008366135,0.015486926,0.026365758,0.005462843,0.028587359,0.017836783,0.014789446,0.017033187,0.004208106,0.018286916,0.017610408,0.009127025,0.006296699,0.014706844,0.005597884,0.00379894,0.008295764,0.015472554
Shortest Activity,0.002364093,0.003912811,0.003912811,0.003912811,0.002364093,0.003912811,0.003912811,0.003912811,0.138984981,0.017898754,0.009584951,0.01073179,0.009584951,0.010782672,0.008412367,0.012043808,0.005104101,0.024652642,0.022437185,0.037759311,0.00529639,0.010553216,0.008340924,0.018452634,0.015867047,0.003912811,0.01850987,0.004111001,0.003912811,0.014659975
Longest Activity,0.008581783,0.015039997,0.013761468,0.015039997,0.010447745,0.015039997,0.013761468,0.015039997,0.117191511,0.018491417,0.052839477,0.021362312,0.014686065,0.014864084,0.020126065,0.020642202,0.018168554,0.011917781,0.018168554,0.01395129,0.019862968,0.008189712,0.011917781,0.013373743,0.006487218,0.006784495,0.011410406,0.005128596,0.009730827,0.018689914
Longest Job Remaining Time,0.00429519,0.005728228,0.004193848,0.005728228,0.004193848,0.005728228,0.004193848,0.005728228,0.069117697,0.011552858,0.011864628,0.01162219,0.004673172,0.016773401,0.022256545,0.022170264,0.014190161,0.014382122,0.021034286,0.019472816,0.00895586,0.022694763,0.022413298,0.016467958,0.028834773,0.00920252,0.007395997,0.003341721,0.010657311,0.014098758
Most Loaded Machine,0.007385717,0.006661734,0.006661734,0.006661734,0.003189062,0.006661734,0.006661734,0.006661734,0.0123137,0.009421114,0.015233634,0.014131672,0.015504342,0.012900392,0.007385717,0.024230006,0.008760032,0.015504342,0.015711668,0.011538462,0.007870532,0.015504342,0.014487038,0.013733516,0.005769231,0.006661734,0.006305229,0.0049963,0.004191249,0.010093084
Least Loaded Machine,0.021288308,0.005718754,0.005462751,0.005718754,0.02131367,0.005718754,0.005462751,0.005718754,0.054798653,0.01167561,0.011678963,0.009924044,0.006617856,0.017626982,0.012279314,0.01630415,0.01092509,0.022147116,0.03805468,0.032188917,0.008122095,0.010218549,0.012888081,0.013043858,0.017930331,0.016362905,0.01309564,0.017156079,0.017219272,0.015402092
Hyper-Heuristic,0.008382741,0.002464895,0.01984004,0.002464895,0.023639098,0.002464895,0.01984004,0.002464895,0.027838721,0.026208318,0.008402046,0.016732697,0.002464895,0.013440427,0.005902554,0.019511049,0.010409835,0.031326235,0.020291738,0.012467533,0.01591082,0.0257072,0.014101614,0.015132277,0.013513118,0.010424335,0.021774283,0.018427295,0.015198985,0.01471543
Simple Hyper-Heuristic 1,0.010758433,0.008232046,0.026127629,0.008232046,0.008773492,0.008232046,0.026127629,0.008232046,0.011877413,0.008034026,0.01294726,0.016064624,0.008232046,0.020883918,0.022090349,0.022031502,0.02578832,0.02834724,0.012497679,0.01739908,0.014808256,0.012865434,0.013792818,0.00608732,0.009117327,0.015438855,0.015856563,0.021446983,0.024034292,0.015322644
Simple Hyper-Heuristic 2,0.002004771,0.016153355,0.012306892,0.012306892,0.005661338,0.016153355,0.012306892,0.012306892,0.086774298,0.030026504,0.017489593,0.02545217,0.013832684,0.017197132,0.028216767,0.028595156,0.007906177,0.02697414,0.012181714,0.006889461,0.027178722,0.002170859,0.016369577,0.01227926,0.013107677,0.017956793,0.012328743,0.018465904,0.014203825,0.018096467
Simple Hyper-Heuristic 3,0.028734021,0.042689296,0.015929487,0.021209125,0.022761151,0.042689296,0.015929487,0.021209125,0.024705104,0.028057035,0.018909119,0.017400235,0.021209125,0.029672051,0.01601974,0.018883687,0.016287498,0.019286584,0.020634868,0.027380863,0.012205784,0.018498002,0.015777919,0.015439231,0.019410774,0.019705638,0.017970885,0.016169042,0.016752949,0.02143197
Average,0.010093507,0.01176854,0.011900203,0.009235877,0.010858592,0.01176854,0.011900203,0.009235877,0.06429142,0.016468444,0.019241706,0.015484013,0.010517127,0.016962798,0.016905517,0.018987467,0.014612713,0.021237498,0.019580182,0.019608092,0.012441953,0.014468899,0.014769946,0.013313682,0.01363342,0.012115693,0.01302455,0.011304186,0.012419728,0.015798289
