Heuristic,Tree with gini and max_depth 4,Tree with gini max_depth 4 and impurity decrease,Tree with entropy and max_depth 4,Tree with entropy max_depth 4 and impurity decrease,Tree with gini and max_depth 3,Tree with gini max_depth 3 and impurity decrease,Tree with entropy and max_depth 3,Tree with entropy max_depth 3 and impurity decrease,Small NN with lbfgs,Medium NN with lbfgs,Mixed NN with lbfgs,Big NN with lbfgs,Small NN with adam,Medium NN with adam,Mixed NN with adam,Big NN with adam,K-Neighbors (2 groups),K-Neighbors (3 groups),K-Neighbors (5 groups),K-Neighbors (8 groups),Linear Division SVC,Polynomial  Division SVC,RBF Division SVC,Random Forest with gini (3 trees),Random Forest with gini (5 trees),Random Forest with gini (10 trees),Random Forest with entropy (3 trees),Random Forest with entropy (5 trees),Random Forest with entropy (10 trees)
Earliest Start,0.8286713286713286,1.0,0.8356643356643356,1.0,0.8286713286713286,1.0,0.8356643356643356,1.0,0.9230769230769231,0.9335664335664335,0.8181818181818182,0.9405594405594405,0.36363636363636365,0.7867132867132867,0.8671328671328671,0.7272727272727273,0.5769230769230769,0.6818181818181818,0.6363636363636364,0.4965034965034965,0.8601398601398601,0.7202797202797203,0.8041958041958042,0.8916083916083916,0.9195804195804196,0.9475524475524476,0.8916083916083916,0.9195804195804196,0.9615384615384616
Shortest Activity,0.9965034965034965,1.0,1.0,1.0,0.9965034965034965,1.0,1.0,1.0,0.986013986013986,0.9790209790209791,0.4405594405594406,0.9790209790209791,0.4405594405594406,0.9230769230769231,0.9755244755244755,0.9440559440559441,0.7797202797202797,0.8321678321678322,0.8076923076923077,0.6853146853146853,0.9825174825174825,0.9370629370629371,0.9615384615384616,0.9895104895104895,0.9685314685314685,1.0,0.986013986013986,0.9685314685314685,1.0
Longest Activity,1.0,1.0,0.993006993006993,1.0,1.0,1.0,0.993006993006993,1.0,0.8951048951048951,0.9440559440559441,0.958041958041958,0.9195804195804196,0.48951048951048953,0.9125874125874126,0.9230769230769231,0.9230769230769231,0.7517482517482518,0.7867132867132867,0.7377622377622378,0.6853146853146853,0.9265734265734266,0.9055944055944056,0.9230769230769231,0.993006993006993,0.958041958041958,0.986013986013986,1.0,0.958041958041958,0.9895104895104895
Longest Job Remaining Time,0.5944055944055944,0.3356643356643357,0.5804195804195804,0.3356643356643357,0.5629370629370629,0.3356643356643357,0.5804195804195804,0.3356643356643357,0.34615384615384615,0.6083916083916084,0.6013986013986014,0.5874125874125874,0.3356643356643357,0.6188811188811189,0.6188811188811189,0.583916083916084,0.5244755244755245,0.5944055944055944,0.493006993006993,0.3776223776223776,0.5804195804195804,0.5804195804195804,0.6328671328671329,0.4825174825174825,0.43006993006993005,0.46503496503496505,0.42657342657342656,0.3986013986013986,0.4195804195804196
Most Loaded Machine,0.7272727272727273,0.7097902097902098,0.7097902097902098,0.7097902097902098,0.7307692307692307,0.7097902097902098,0.7097902097902098,0.7097902097902098,0.3321678321678322,0.6328671328671329,0.6818181818181818,0.6713286713286714,0.3321678321678322,0.6223776223776224,0.7167832167832168,0.6223776223776224,0.6398601398601399,0.6958041958041958,0.6608391608391608,0.6048951048951049,0.6433566433566433,0.7622377622377622,0.7517482517482518,0.7097902097902098,0.7272727272727273,0.7447552447552448,0.7132867132867133,0.7132867132867133,0.7237762237762237
Least Loaded Machine,0.7097902097902098,0.7447552447552448,0.7482517482517482,0.7447552447552448,0.6923076923076923,0.7447552447552448,0.7482517482517482,0.7447552447552448,0.6643356643356644,0.6783216783216783,0.7132867132867133,0.7132867132867133,0.4125874125874126,0.6923076923076923,0.6573426573426573,0.7412587412587412,0.6853146853146853,0.7272727272727273,0.6713286713286714,0.5699300699300699,0.6888111888111889,0.6573426573426573,0.7237762237762237,0.6783216783216783,0.7027972027972028,0.7447552447552448,0.6783216783216783,0.7027972027972028,0.7482517482517482
Hyper-Heuristic,0.7587412587412588,0.4020979020979021,0.4370629370629371,0.4020979020979021,0.5874125874125874,0.4020979020979021,0.4370629370629371,0.4020979020979021,0.4020979020979021,0.43006993006993005,0.46853146853146854,0.4230769230769231,0.4020979020979021,0.5,0.4125874125874126,0.43006993006993005,0.5909090909090909,0.6188811188811189,0.5454545454545454,0.4755244755244755,0.3986013986013986,0.5594405594405595,0.6083916083916084,0.46503496503496505,0.47202797202797203,0.46153846153846156,0.46153846153846156,0.46503496503496505,0.45454545454545453
Simple Hyper-Heuristic 1,0.7202797202797203,0.3321678321678322,0.7622377622377622,0.3321678321678322,0.7342657342657343,0.3321678321678322,0.7622377622377622,0.3321678321678322,0.4370629370629371,0.5314685314685315,0.6258741258741258,0.5909090909090909,0.3321678321678322,0.6328671328671329,0.6573426573426573,0.5454545454545454,0.5594405594405595,0.6118881118881119,0.5174825174825175,0.4405594405594406,0.458041958041958,0.5524475524475524,0.7202797202797203,0.6678321678321678,0.5524475524475524,0.5979020979020979,0.6783216783216783,0.5454545454545454,0.47202797202797203
Simple Hyper-Heuristic 2,0.9895104895104895,0.9440559440559441,0.9265734265734266,0.9265734265734266,0.9895104895104895,0.9440559440559441,0.9265734265734266,0.9265734265734266,0.8531468531468531,0.8531468531468531,0.8601398601398601,0.8251748251748252,0.4755244755244755,0.8741258741258742,0.8881118881118881,0.9300699300699301,0.7132867132867133,0.7517482517482518,0.7202797202797203,0.6608391608391608,0.8286713286713286,0.8496503496503497,0.8951048951048951,0.958041958041958,0.8776223776223776,0.9300699300699301,0.958041958041958,0.965034965034965,0.9615384615384616
Simple Hyper-Heuristic 3,0.7762237762237763,0.3706293706293706,0.6923076923076923,0.3706293706293706,0.7587412587412588,0.3706293706293706,0.6923076923076923,0.3706293706293706,0.40559440559440557,0.6223776223776224,0.6293706293706294,0.6433566433566433,0.3706293706293706,0.6818181818181818,0.6818181818181818,0.6503496503496503,0.6398601398601399,0.7062937062937062,0.6713286713286714,0.5979020979020979,0.6468531468531469,0.7447552447552448,0.7342657342657343,0.6608391608391608,0.7027972027972028,0.7097902097902098,0.6713286713286714,0.6888111888111889,0.7132867132867133
