Heuristic,Tree with gini and max_depth 4,Tree with gini max_depth 4 and impurity decrease,Tree with entropy and max_depth 4,Tree with entropy max_depth 4 and impurity decrease,Tree with gini and max_depth 3,Tree with gini max_depth 3 and impurity decrease,Tree with entropy and max_depth 3,Tree with entropy max_depth 3 and impurity decrease,Small NN with lbfgs,Medium NN with lbfgs,Mixed NN with lbfgs,Big NN with lbfgs,Small NN with adam,Medium NN with adam,Mixed NN with adam,Big NN with adam,K-Neighbors (2 groups),K-Neighbors (3 groups),K-Neighbors (5 groups),K-Neighbors (8 groups),Linear Division SVC,Polynomial  Division SVC,RBF Division SVC,Random Forest with gini (3 trees),Random Forest with gini (5 trees),Random Forest with gini (10 trees),Random Forest with entropy (3 trees),Random Forest with entropy (5 trees),Random Forest with entropy (10 trees)
Earliest Start,0.006878426851792819,0.011084287738714704,0.012774491690185281,0.011084287738714704,0.006878426851792819,0.011084287738714704,0.012774491690185281,0.011084287738714704,0.009989049892238804,0.018925181639591126,0.04019310815201395,0.03691066466881133,0.008366135147388232,0.016560975980873704,0.013679005958295949,0.024209237278551787,0.007046621529610856,0.01087066478024518,0.010393224925154801,0.018178667074469954,0.009748112941394962,0.014611238844613992,0.014401503900054888,0.023834213693950917,0.010986343557450661,0.008710349441010859,0.022968091243851848,0.010986343557450661,0.0062688876427852485
Shortest Activity,0.004728185237185766,0.003912810849638044,0.003912810849638044,0.003912810849638044,0.011554213120059446,0.003912810849638044,0.003912810849638044,0.003912810849638044,0.005273816302610534,0.009098774318166613,0.009584950566207971,0.009060211565151096,0.009584950566207982,0.009719576406129546,0.003850556778429008,0.02768035763730487,0.030234608440939503,0.018115439936881795,0.021929625478710166,0.012459995543875156,0.00529638967492058,0.003249856515809329,0.005704319781859097,0.01683517494825159,0.016528614829128326,0.003912810849638044,0.01841827621528934,0.015718696284815585,0.003912810849638044
Longest Activity,0.009931483988353671,0.015039996615371561,0.015342991009472074,0.015039996615371561,0.007519998307685782,0.015039996615371561,0.015342991009472074,0.015039996615371561,0.018059651087183066,0.011862477560537363,0.011236191480656804,0.017163565994375893,0.014686064764754243,0.010510494713201453,0.014277407795858647,0.011467889908256855,0.018491416853895767,0.026550084639427134,0.018059651087183035,0.015342991009472071,0.02035348549231519,0.013761467889908285,0.012351295429207576,0.008581782997187933,0.027784498714646118,0.01621804544005845,0.008189711500622521,0.02642596014174978,0.005958890393012157
Longest Job Remaining Time,0.013747691487336284,0.0046731722053947105,0.023440592919606613,0.0046731722053947105,0.022334077678617503,0.0046731722053947105,0.023440592919606613,0.0046731722053947105,0.016038165139034565,0.012061311509028564,0.014760365718464561,0.021930823441323882,0.004673172205394735,0.027025771223072575,0.022726107774956376,0.012262925211476648,0.01808955825255714,0.019982143163357377,0.034272035882133005,0.01937878681889944,0.01874302898469556,0.01169098248121737,0.014312569480820131,0.0068634625600304386,0.00541746142251756,0.005819021237390473,0.013159766847781598,0.0074874748276790555,0.004716855405278223
Most Loaded Machine,0.006305229350290363,0.006661733875264889,0.006661733875264889,0.006661733875264889,0.0038461538461538325,0.006661733875264889,0.006661733875264889,0.006661733875264889,0.013427153888239344,0.01814227140780114,0.009946231185373664,0.01968220143313336,0.015504341823651062,0.014518912375520669,0.01133637127168423,0.018940111157300182,0.016654334688162298,0.027601346335398725,0.023236626872297245,0.02551249838734923,0.012610458700580774,0.013427153888239365,0.01770380061492496,0.010311351244965019,0.007385717065258302,0.010356086167566343,0.00630522935029041,0.004710557197659986,0.009805806756909199
Least Loaded Machine,0.01773635434250239,0.005718753909645569,0.005352499162646367,0.005718753909645569,0.007688336472996911,0.005718753909645569,0.005352499162646367,0.005718753909645569,0.00943043810020807,0.015833295809518592,0.010252112180828771,0.020402802305654364,0.006617855938268466,0.010146232998937063,0.01724962314035066,0.01747429117627484,0.022911325915699138,0.026160618262455266,0.03951356663768667,0.030610891950023502,0.014612949855616626,0.009135943448375879,0.010616832902656725,0.00029689391209800824,0.0050937236041919826,0.011691420801774783,0.00029689391209800824,0.011822003038736283,0.008209058771219852
Hyper-Heuristic,0.008859641364298036,0.0024648945636161074,0.0039267246282534505,0.0024648945636161074,0.005985492051804961,0.0024648945636161074,0.0039267246282534505,0.0024648945636161074,0.007151181746657427,0.01820384518886752,0.029472705450383725,0.019865765821928078,0.002464894563616152,0.019675033319967894,0.033582189254557214,0.013389622522080664,0.01747495200170957,0.018077730705104336,0.02517431468739239,0.012477348759170231,0.008923229851405484,0.0166354381626146,0.013454767804353555,0.013234654080455715,0.0037643433479081197,0.00376434334790812,0.010885395678869878,0.004915167319372806,0.004683078386189101
Simple Hyper-Heuristic 1,0.00941107829029496,0.008232046326444404,0.026127628690744795,0.008232046326444404,0.006956647819799751,0.008232046326444404,0.026127628690744795,0.008232046326444404,0.011729334227672259,0.011857245260976434,0.006388779300012241,0.010905644821869922,0.008232046326444425,0.013979167382451689,0.017642533771716963,0.02503884158696781,0.01368451782836106,0.01945123464699125,0.017184270090852785,0.01537016569630913,0.0144902463574696,0.015697960139415282,0.017908024261171843,0.01861644754063342,0.01119939361729982,0.016377958755713164,0.017210272185711438,0.018047292620287817,0.01405219100247273
Simple Hyper-Heuristic 3,0.03366330335958705,0.04268929619034754,0.019311485885874714,0.021209125149788174,0.013864838846795046,0.04268929619034754,0.019311485885874714,0.021209125149788174,0.013968438087034312,0.03067546636698435,0.019410774385513092,0.029016958013625006,0.021209125149788174,0.021546334290035205,0.02814254920472023,0.025920204051769178,0.021186453710759136,0.026938493458890385,0.031002722158513546,0.01970563847278606,0.004384447014705454,0.021724039025647405,0.011221101119862346,0.03366330335958705,0.01783667195947086,0.008931797626612054,0.023262373564126807,0.01601973984153743,0.009754778795162943
Simple Hyper-Heuristic 3,0.03366330335958705,0.04268929619034754,0.019311485885874714,0.021209125149788174,0.013864838846795046,0.04268929619034754,0.019311485885874714,0.021209125149788174,0.013968438087034312,0.03067546636698435,0.019410774385513092,0.029016958013625006,0.021209125149788174,0.021546334290035205,0.02814254920472023,0.025920204051769178,0.021186453710759136,0.026938493458890385,0.031002722158513546,0.01970563847278606,0.004384447014705454,0.021724039025647405,0.011221101119862346,0.03366330335958705,0.01783667195947086,0.008931797626612054,0.023262373564126807,0.01601973984153743,0.009754778795162943
