Heuristic,Tree with gini and max_depth 4,Tree with gini max_depth 4 and impurity decrease,Tree with entropy and max_depth 4,Tree with entropy max_depth 4 and impurity decrease,Tree with gini and max_depth 3,Tree with gini max_depth 3 and impurity decrease,Tree with entropy and max_depth 3,Tree with entropy max_depth 3 and impurity decrease,Small NN with lbfgs,Medium NN with lbfgs,Mixed NN with lbfgs,Big NN with lbfgs,Small NN with adam,Medium NN with adam,Mixed NN with adam,Big NN with adam,K-Neighbors (2 groups),K-Neighbors (3 groups),K-Neighbors (5 groups),K-Neighbors (8 groups),Linear Division SVC,Polynomial  Division SVC,RBF Division SVC,Random Forest with gini (3 trees),Random Forest with gini (5 trees),Random Forest with gini (10 trees),Random Forest with entropy (3 trees),Random Forest with entropy (5 trees),Random Forest with entropy (10 trees)
Earliest Start,0.8566433566433567,1.0,0.8321678321678322,1.0,0.8636363636363636,1.0,0.8321678321678322,1.0,0.9335664335664335,0.9405594405594405,0.916083916083916,0.8881118881118881,0.36363636363636365,0.6958041958041958,0.9055944055944056,0.7972027972027972,0.5734265734265734,0.6573426573426573,0.5909090909090909,0.42657342657342656,0.8251748251748252,0.6853146853146853,0.8181818181818182,0.9300699300699301,0.9475524475524476,0.9545454545454546,0.8951048951048951,0.9475524475524476,0.951048951048951
Shortest Activity,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4405594405594406,0.9230769230769231,0.4405594405594406,0.993006993006993,0.4405594405594406,0.9195804195804196,0.9685314685314685,0.9335664335664335,0.7587412587412588,0.8111888111888111,0.7832167832167832,0.7342657342657343,0.9825174825174825,0.951048951048951,0.9685314685314685,0.9195804195804196,0.916083916083916,1.0,0.9090909090909091,0.9685314685314685,1.0
Longest Activity,0.9895104895104895,1.0,0.9545454545454546,1.0,1.0,1.0,0.9545454545454546,1.0,0.8706293706293706,0.8671328671328671,0.8811188811188811,0.8741258741258742,0.48951048951048953,0.8916083916083916,0.958041958041958,0.8951048951048951,0.7587412587412588,0.8321678321678322,0.7692307692307693,0.6538461538461539,0.8706293706293706,0.8706293706293706,0.9265734265734266,0.986013986013986,0.9895104895104895,0.9895104895104895,0.9965034965034965,1.0,0.986013986013986
Longest Job Remaining Time,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7552447552447552,0.8636363636363636,0.8916083916083916,0.8041958041958042,0.3356643356643357,0.8671328671328671,0.7587412587412588,0.8496503496503497,0.5524475524475524,0.6538461538461539,0.506993006993007,0.42657342657342656,0.8181818181818182,0.7832167832167832,0.9090909090909091,0.9300699300699301,0.8531468531468531,0.9755244755244755,0.958041958041958,0.965034965034965,0.9790209790209791
Most Loaded Machine,0.6993006993006993,0.7097902097902098,0.7097902097902098,0.7097902097902098,0.6713286713286714,0.7097902097902098,0.7097902097902098,0.7097902097902098,0.6608391608391608,0.6293706293706294,0.6748251748251748,0.6398601398601399,0.3321678321678322,0.7062937062937062,0.6993006993006993,0.7027972027972028,0.6818181818181818,0.7447552447552448,0.6958041958041958,0.6223776223776224,0.6538461538461539,0.7727272727272727,0.7692307692307693,0.7447552447552448,0.7377622377622378,0.7342657342657343,0.7132867132867133,0.7342657342657343,0.7272727272727273
Least Loaded Machine,0.7727272727272727,0.7447552447552448,0.7307692307692307,0.7447552447552448,0.7727272727272727,0.7447552447552448,0.7307692307692307,0.7447552447552448,0.7027972027972028,0.7027972027972028,0.7342657342657343,0.7167832167832168,0.4125874125874126,0.7027972027972028,0.7517482517482518,0.7447552447552448,0.6188811188811189,0.6923076923076923,0.6223776223776224,0.5874125874125874,0.7062937062937062,0.6643356643356644,0.7342657342657343,0.7517482517482518,0.7692307692307693,0.7482517482517482,0.7517482517482518,0.7692307692307693,0.7797202797202797
Hyper-Heuristic,0.7342657342657343,0.4020979020979021,0.4020979020979021,0.4020979020979021,0.6468531468531469,0.4020979020979021,0.4020979020979021,0.4020979020979021,0.4020979020979021,0.458041958041958,0.4825174825174825,0.479020979020979,0.4020979020979021,0.48951048951048953,0.40559440559440557,0.3951048951048951,0.5524475524475524,0.6293706293706294,0.541958041958042,0.44755244755244755,0.4090909090909091,0.5909090909090909,0.6258741258741258,0.4405594405594406,0.45454545454545453,0.46503496503496505,0.6713286713286714,0.5,0.493006993006993
Simple Hyper-Heuristic 1,0.9195804195804196,0.3321678321678322,0.7622377622377622,0.3321678321678322,0.8391608391608392,0.3321678321678322,0.7622377622377622,0.3321678321678322,0.541958041958042,0.527972027972028,0.5244755244755245,0.5559440559440559,0.3321678321678322,0.5664335664335665,0.6363636363636364,0.6153846153846154,0.5209790209790209,0.6188811188811189,0.5594405594405595,0.4195804195804196,0.506993006993007,0.5909090909090909,0.7307692307692307,0.8356643356643356,0.7867132867132867,0.7062937062937062,0.8846153846153846,0.7867132867132867,0.7027972027972028
Simple Hyper-Heuristic 3,0.7552447552447552,0.3706293706293706,0.6923076923076923,0.3706293706293706,0.7482517482517482,0.3706293706293706,0.6923076923076923,0.3706293706293706,0.6048951048951049,0.6153846153846154,0.6398601398601399,0.5944055944055944,0.3706293706293706,0.6433566433566433,0.6888111888111889,0.6503496503496503,0.6748251748251748,0.7377622377622378,0.6748251748251748,0.5944055944055944,0.6503496503496503,0.7517482517482518,0.7342657342657343,0.7062937062937062,0.7237762237762237,0.6958041958041958,0.7202797202797203,0.7237762237762237,0.7237762237762237
Simple Hyper-Heuristic 3,0.7552447552447552,0.3706293706293706,0.6923076923076923,0.3706293706293706,0.7482517482517482,0.3706293706293706,0.6923076923076923,0.3706293706293706,0.6048951048951049,0.6153846153846154,0.6398601398601399,0.5944055944055944,0.3706293706293706,0.6433566433566433,0.6888111888111889,0.6503496503496503,0.6748251748251748,0.7377622377622378,0.6748251748251748,0.5944055944055944,0.6503496503496503,0.7517482517482518,0.7342657342657343,0.7062937062937062,0.7237762237762237,0.6958041958041958,0.7202797202797203,0.7237762237762237,0.7237762237762237
